UNM_BANNER_ID,HED_HIGH_SCHOOL_CODE,INSTITUTION_NAME,STREET_LINE1,STREET_LINE2,STREET_LINE3,CITY,STATE_PROVINCE
100331835,130395,MIDDLETON HIGH SCHOOL,1538 EMMETT RD,,,MIDDLETON,ID
100898003,140650,AMERICAN SCHOOL,2200 E 170TH ST,,,LANSING,IL
101750265,130632,MAGIC VALLEY HIGH SCHOOL,512 MAIN AVE N,,,TWIN FALLS,ID
101766042,139001,IDAHO,,,,,
101748230,139001,IDAHO,,,,,
101516160,139001,IDAHO,,,,,
101736769,140040,ALTON HIGH SCHOOL,4200 HUMBERT RD,,,ALTON,IL
101732458,140047,ALTONA CHRISTIAN ACADEMY,PO BOX 267,,,ALTONA,IL
101647159,140170,EAST AURORA HIGH SCHOOL,500 TOMCAT LN,,,AURORA,IL
101694206,140177,ILLINOIS MATH AND SCIENCE ACAD,1500 W SULLIVAN RD,,,AURORA,IL
100251597,140184,WAUBONSIE VALLEY HIGH SCHOOL,2590 OGDEN AVE,,,AURORA,IL
101699399,109001,FLORIDA,,,,,
101689176,109001,FLORIDA,,,,,
101512444,109001,FLORIDA,,,,,
101269446,109001,FLORIDA,,,,,
101649186,109001,FLORIDA,,,,,
101648735,109001,FLORIDA,,,,,
101721217,110224,ACADEMY AT THERRELL,3099 PANTHER TRL SW,,,ATLANTA,GA
100743469,110857,HERITAGE HIGH SCHOOL,2400 GRANADE RD SW,,,CONYERS,GA
101121698,111257,LAKESIDE HIGH SCHOOL,533 BLUE RIDGE DR,,,EVANS,GA
101654014,111836,LITHIA SPRINGS HS,2520 E CO LINE RD,,,LITHIA SPRINGS,GA
101637576,111992,CARLTON J KELL HIGH SCHOOL,4770 LEE WATERS RD,,,MARIETTA,GA
101707397,112276,JAMES MADISON HIGH SCHOOL,STE 500,6625 THE CORNERS PKWY,,NORCROSS,GA
101772757,112745,CAMPBELL HIGH SCHOOL,5265 WARD ST SE,,,SMYRNA,GA
101676202,112836,REDAN HIGH SCHOOL,5247 REDAN RD,,,STONE MOUNTAIN,GA
101720283,119001,GEORGIA,,,,,
101258916,120222,WAIANAE HIGH SCHOOL,85-251 FARRINGTON HWY,,,WAIANAE,HI
101329152,129001,HAWAII,,,,,
101667890,129001,HAWAII,,,,,
100231551,130051,ROCKY MOUNTAIN ACADEMY,1 RUBY CREEK RD,PO BOX 230,,NAPLES,ID
100807770,141260,SAINT SCHOLASTICA ACADEMY,7416 N RIDGE BLVD,,,CHICAGO,IL
101750321,141345,VON STEUBEN METRO SCIENCE CTR,5039 N KIMBALL AVE,,,CHICAGO,IL
100481573,141383,WHITNEY M YOUNG MAGNET HS,211 S LAFLIN ST,,,CHICAGO,IL
101590816,173174,METRO MERIDIAN ALTERNATIVE HS,301 S MERIDIAN AVE,,,WICHITA,KS
101708170,173206,WICHITA HIGH SCHOOL EAST,2301 E DOUGLAS AVE,,,WICHITA,KS
100258797,251915,MERIDIAN HIGH SCHOOL,2320 32ND ST,,,MERIDIAN,MS
100880805,252360,CHOCTAW CENTRAL HIGH SCHOOL,ROUTE 7,,,PHILADELPHIA,MS
101768805,311336,RANNEY SCHOOL,235 HOPE RD,,,TINTON FALLS,NJ
101366981,221548,NEWTON SOUTH HIGH SCHOOL,140 BRANDEIS RD,,,NEWTON CENTER,MA
100241822,221760,MISS HALLS SCHOOL,492 HOLMES RD,PO BOX 1166,,PITTSFIELD,MA
101563055,180940,FULTON INDEPENDENT HIGH SCH,700 STEPHEN BEALE DR,,,FULTON,KY
100765534,260121,MT ZION BIBLE SCHOOL,RR 1 BOX 48,,,AVA,MO
101507446,260129,PARKWAY SOUTH HIGH SCHOOL,801 HANNA RD,,,MANCHESTER,MO
101640706,311405,SOUTH RIVER HIGH SCHOOL,11 MONTGOMERY ST,,,SOUTH RIVER,NJ
101686023,311408,SPARTA HIGH SCHOOL,70 W MOUNTAIN RD,,,SPARTA,NJ
101606888,311457,TOMS RIVER HIGH SCHOOL EAST,1225 RAIDER WAY,,,TOMS RIVER,NJ
101665351,311457,TOMS RIVER HIGH SCHOOL EAST,1225 RAIDER WAY,,,TOMS RIVER,NJ
101757294,311581,EGG HARBOR TOWNSHIP HIGH SCH,24 HIGH SCHOOL DR,,,EGG HARBOR TWP,NJ
101737553,319001,NEW JERSEY,,,,,
101743139,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101705820,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101681162,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101677944,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101623589,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101623027,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101554349,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101318656,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101270197,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101141899,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
100688906,320000,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,,,ALAMOGORDO,NM
101741231,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101732806,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101728551,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101728216,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101689967,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101693496,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101694245,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101693387,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101689214,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101617594,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
